game_id,player_id,attempts,prediction_v2,crps_v2,prediction_v1,crps_v1,mae_difference,crps_difference
2025_01_DAL_PHI,00-0036389,23.0,25.659440190887505,2.2463470071717615,24.736704641444287,2.0827703542371028,0.9227355494432175,0.16357665293465873
2025_01_DAL_PHI,00-0033077,34.0,35.71541574502357,2.0925123610070466,36.28197958317324,2.155704772482953,-0.5665638381496692,-0.06319241147590615
2025_01_KC_LAC,00-0036355,34.0,32.666827962393775,2.1660029823323423,32.90030328375273,2.166263602324868,0.23347532135895221,-0.00026061999252569024
2025_01_KC_LAC,00-0033873,39.0,37.57272320447978,2.1816769348893903,37.40655185135481,2.254163871559056,-0.166171353124966,-0.07248693666966588
2025_01_PIT_NYJ,00-0036945,22.0,29.258465416867782,4.136652224296003,30.90165892599257,5.039953236629265,-1.6431935091247887,-0.9033010123332623
2025_01_PIT_NYJ,00-0023459,30.0,33.11913374664687,2.3532958347357606,34.379411716324284,2.683369437367971,-1.2602779696774178,-0.3300736026322104
2025_01_NYG_WAS,00-0039910,30.0,29.03484037172997,2.1120836548593727,28.331144285609,2.269139951255477,-0.7036960861209707,-0.1570562963961044
2025_01_NYG_WAS,00-0029263,37.0,31.421905970145055,3.5933603676162402,31.864768856252418,3.476531124853238,0.44286288610736335,0.11682924276300222
2025_01_ARI_NO,00-0039376,46.0,35.02229474488118,7.231891677157857,36.03878314187335,6.575277689002558,1.0164883969921732,0.656613988155299
2025_01_ARI_NO,00-0035228,29.0,33.116051191528086,2.6502374404130515,33.74894569879116,2.816453219134078,-0.6328945072630745,-0.16621577872102655
2025_01_LV_NE,00-0039851,46.0,32.85143306166618,9.082095422945027,31.986119842422248,10.021090722689337,-0.8653132192439301,-0.9389952997443096
2025_01_LV_NE,00-0030565,34.0,33.84681117324656,2.036420554976231,33.99797815745947,2.0457699404015397,0.15116698421291375,-0.009349385425308832
2025_01_MIA_IND,00-0035710,29.0,32.1042430206355,2.3495469089078416,32.00735065828514,2.2937702267265543,0.09689236235035992,0.055776682181287285
2025_01_MIA_IND,00-0036212,23.0,33.479016523288635,6.311088395137047,33.35154463603312,6.060798864504167,0.12747188725551695,0.2502895306328803
2025_01_CIN_CLE,00-0026158,45.0,28.737710537888763,11.92234575200132,27.81472001189148,12.965782361068571,-0.9229905259972817,-1.0434366090672516
2025_01_CIN_CLE,00-0036442,23.0,37.639022071197985,9.751036876916821,36.67041032226534,8.724426538757713,0.9686117489326449,1.0266103381591076
2025_01_TB_ATL,00-0039917,42.0,35.11475883480486,4.308910965549486,35.0260750795594,4.483778655733822,-0.08868375524546224,-0.17486769018433623
2025_01_TB_ATL,00-0034855,32.0,34.87763002840811,2.2951100576907493,34.805469900710975,2.250543121402592,0.07216012769713842,0.04456693628815733
2025_01_CAR_JAX,00-0036971,31.0,31.66078928145249,2.020600262942594,31.301374986195526,2.031562161515217,0.3594142952569648,-0.010961898572622975
